customer,rfm_segment,segment
"Sean Miller",331,"Big Spenders"
"Tamara Chand",231,"Big Spenders"
"Raymond Buch",121,"Big Spenders"
"Tom Ashbrook",441,"Big Spenders"
"Adrian Barton",311,"Big Spenders"
"Ken Lonsdale",111,"Best Customers"
"Sanjit Chand",311,"Big Spenders"
"Hunter Lopez",331,"Big Spenders"
"Sanjit Engle",211,"Big Spenders"
"Christopher Conant",431,"Big Spenders"
"Todd Sumrall",231,"Big Spenders"
"Greg Tran",211,"Big Spenders"
"Becky Martin",341,"Big Spenders"
"Seth Vernon",311,"Big Spenders"
"Caroline Jumper",221,"Big Spenders"
"Clay Ludtke",111,"Best Customers"
"Maria Etezadi",111,"Best Customers"
"Karen Ferguson",321,"Big Spenders"
"Bill Shonely",431,"Big Spenders"
"Edward Hooks",111,"Best Customers"
"John Lee",111,"Best Customers"
"Grant Thornton",441,"Big Spenders"
"Helen Wasserman",321,"Big Spenders"
"Tom Boeckenhauer",121,"Big Spenders"
"Peter Fuller",441,"Big Spenders"
"Christopher Martinez",441,"Big Spenders"
"Justin Deggeller",321,"Big Spenders"
"Joe Elijah",311,"Big Spenders"
"Laura Armstrong",111,"Best Customers"
"Pete Kriz",311,"Big Spenders"
"Daniel Raglin",111,"Best Customers"
"Natalie Fritzler",321,"Big Spenders"
"Karen Daniels",441,"Big Spenders"
"Nick Crebassa",121,"Big Spenders"
"Harry Marie",211,"Big Spenders"
"Keith Dawkins",111,"Best Customers"
"Sean Braxton",421,"Big Spenders"
"Zuschuss Carroll",211,"Big Spenders"
"Joseph Holt",231,"Big Spenders"
"Nora Preis",321,"Big Spenders"
"Anna HÅ berlin",111,"Best Customers"
"Adam Bellavance",111,"Best Customers"
"Jim Epp",421,"Big Spenders"
"Jane Waco",121,"Big Spenders"
"Lena Creighton",211,"Big Spenders"
"John Murray",121,"Big Spenders"
"Jonathan Doherty",211,"Big Spenders"
"Patrick O'Brill",111,"Best Customers"
"Maribeth Schnelling",311,"Big Spenders"
"Rick Wilson",121,"Big Spenders"
"Brian Moss",211,"Big Spenders"
"Paul Prost",211,"Big Spenders"
"Natalie Webber",321,"Big Spenders"
"Dean percer",311,"Big Spenders"
"Fred Hopkins",111,"Best Customers"
"Rick Huthwaite",121,"Big Spenders"
"Penelope Sewall",421,"Big Spenders"
"Brenda Bowman",211,"Big Spenders"
"Joel Eaton",311,"Big Spenders"
"Yana Sorensen",321,"Big Spenders"
"Andy Reiter",121,"Big Spenders"
"Dan Reichenbach",111,"Best Customers"
"Grace Kelly",311,"Big Spenders"
"Joseph Airdo",111,"Best Customers"
"Nathan Mautz",321,"Big Spenders"
"Valerie Dominguez",231,"Big Spenders"
"Sarah Brown",331,"Big Spenders"
"James Galang",111,"Best Customers"
"Darrin Martin",321,"Big Spenders"
"Corinna Mitchell",431,"Big Spenders"
"Max Jones",321,"Big Spenders"
"Brosina Hoffman",421,"Big Spenders"
"Rob Lucas",111,"Best Customers"
"William Brown",111,"Best Customers"
"Victoria Wilson",311,"Big Spenders"
"Shirley Daniels",111,"Best Customers"
"Quincy Jones",411,"Big Spenders"
"Alan Dominguez",321,"Big Spenders"
"Cassandra Brandow",211,"Big Spenders"
"Greg Maxwell",441,"Big Spenders"
"Shahid Collister",311,"Big Spenders"
"Kristen Hastings",221,"Big Spenders"
"Robert Marley",331,"Big Spenders"
"Keith Herrera",221,"Big Spenders"
"Ben Ferrer",111,"Best Customers"
"Christine Phan",321,"Big Spenders"
"Bill Donatelli",111,"Best Customers"
"Cindy Stewart",331,"Big Spenders"
"Anne McFarland",111,"Best Customers"
"Ross Baird",211,"Big Spenders"
"Katherine Murray",111,"Best Customers"
